rainfall_mm,temperature_C,discharge,month,rain_lag1,rain_lag2,rain_lag3,rain_lag5,discharge_lag1,discharge_lag2,rain_3day,rain_7day,day_of_year,heavy_rain
1.2341668e-05,17.364716,204.53,1,0.0012577282,1.9073486e-05,6.170834e-05,2.6927275e-05,190.66,194.24,0.001289143354,0.0239237609387,7,0
0.007863886,18.989563,188.34,1,1.2341668e-05,0.0012577282,1.9073486e-05,1.1219697e-06,204.53,190.66,0.009133955868000001,0.0092427869387,8,0
0.009388643,20.977448,182.56,1,0.007863886,1.2341668e-05,0.0012577282,6.170834e-05,188.34,204.53,0.017264870668,0.0186045026637,9,0
0.08511487,21.38797,190.55,1,0.009388643,0.007863886,1.2341668e-05,1.9073486e-05,182.56,188.34,0.102367399,0.103718250694,10,0
0.013353685,21.371277,378.63,1,0.08511487,0.009388643,0.007863886,0.0012577282,190.55,182.56,0.107857198,0.117010227354,11,0
0.30957726,21.876617,181.8,1,0.013353685,0.08511487,0.009388643,1.2341668e-05,378.63,190.55,0.40804581500000003,0.42656841386800004,12,0
6.283546,20.89746,185.98,1,0.30957726,0.013353685,0.08511487,0.007863886,181.8,378.63,6.606476945000001,6.7088566856680005,13,0
2.1846907,20.72226,189.33,1,6.283546,0.30957726,0.013353685,0.009388643,185.98,181.8,8.77781396,8.893535044,14,0
0.23249234,19.388214,181.8,1,2.1846907,6.283546,0.30957726,0.08511487,189.33,185.98,8.70072904,9.118163498000001,15,0
0.0089555625,18.780212,179.35,1,0.23249234,2.1846907,6.283546,0.013353685,181.8,189.33,2.4261386025,9.117730417499999,16,0
0.004122117,18.450745,150.18,1,0.0089555625,0.23249234,2.1846907,0.30957726,179.35,181.8,0.2455700195,9.0367376645,17,0
0.0013127046,18.445496,145.99,1,0.004122117,0.0089555625,0.23249234,6.283546,150.18,179.35,0.0143903841,9.024696684100002,18,0
0.0006866455,18.174103,142.87,1,0.0013127046,0.004122117,0.0089555625,2.1846907,145.99,150.18,0.0061214671,8.715806069600001,19,0
0.00024346747,18.125153,233.86,1,0.0006866455,0.0013127046,0.004122117,0.23249234,142.87,145.99,0.00224281757,2.43250353707,20,0
0.0003556644,18.299225,154.95,1,0.00024346747,0.0006866455,0.0013127046,0.0089555625,233.86,142.87,0.00128577737,0.24816850147,21,0
0.00043083643,18.654816,148.52,1,0.0003556644,0.00024346747,0.0006866455,0.004122117,154.95,233.86,0.0010299683,0.0161069979,22,0
0.00029956596,18.983154,141.92,1,0.00043083643,0.0003556644,0.00024346747,0.0013127046,148.52,154.95,0.00108606679,0.00745100136,23,0
9.200152e-05,19.375763,155.23,1,0.00029956596,0.00043083643,0.0003556644,0.0006866455,141.92,148.52,0.0008224039099999999,0.00342088588,24,0
0.00013575834,19.634918,189.03,1,9.200152e-05,0.00029956596,0.00043083643,0.00024346747,155.23,141.92,0.00052732582,0.00224393962,25,0
0.0,20.241058,185.34,1,0.00013575834,9.200152e-05,0.00029956596,0.0003556644,189.03,155.23,0.00022775986,0.00155729412,26,0
3.8146973e-05,20.00476,178.09,1,0.0,0.00013575834,9.200152e-05,0.00043083643,185.34,189.03,0.00017390531299999997,0.0013519736230000001,27,0
0.00031751744,19.900421,173.62,1,3.8146973e-05,0.0,0.00013575834,0.00029956596,178.09,185.34,0.000355664413,0.001313826663,28,0
0.00031863942,20.05838,170.78,1,0.00031751744,3.8146973e-05,0.0,9.200152e-05,173.62,178.09,0.0006743038329999999,0.001201629653,29,0
4.487879e-06,19.976929,169.24,1,0.00031863942,0.00031751744,3.8146973e-05,0.00013575834,170.78,173.62,0.000640644739,0.000906551572,30,0
0.0005340576,20.347412,163.33,1,4.487879e-06,0.00031863942,0.00031751744,0.0,169.24,170.78,0.000857184899,0.001348607652,31,0
1.1219697e-06,20.77771,157.43,2,0.0005340576,4.487879e-06,0.00031863942,3.8146973e-05,163.33,169.24,0.0005396674486999999,0.0012139712817,32,0
0.0030876608,21.616333,154.93,2,1.1219697e-06,0.0005340576,4.487879e-06,0.00031751744,157.43,163.33,0.0036228403697,0.004301632081700001,33,0
0.016682569,21.606506,159.77,2,0.0030876608,1.1219697e-06,0.0005340576,0.00031863942,154.93,157.43,0.0197713517697,0.020946054108700003,34,0
0.3703813,20.833038,166.82,2,0.016682569,0.0030876608,1.1219697e-06,4.487879e-06,159.77,154.93,0.3901515298,0.39100983666870004,35,0
0.006167468,21.138184,160.54,2,0.3703813,0.016682569,0.0030876608,0.0005340576,166.82,159.77,0.393231337,0.39685866524870006,36,0
0.00041400688,21.265503,158.81,2,0.006167468,0.3703813,0.016682569,1.1219697e-06,160.54,166.82,0.37696277488,0.3972681842497,37,0
0.00044990986,21.900604,154.93,2,0.00041400688,0.006167468,0.3703813,0.0030876608,158.81,160.54,0.0070313847399999995,0.3971840365097,38,0
5.609849e-06,22.824463,153.8,2,0.00044990986,0.00041400688,0.006167468,0.016682569,154.93,158.81,0.000869526589,0.39718852438900004,39,0
0.0016807107,23.246704,194.74,2,5.609849e-06,0.00044990986,0.00041400688,0.3703813,153.8,154.93,0.002136230409,0.39578157428900007,40,0
0.025573056,22.779907,259.68,2,0.0016807107,5.609849e-06,0.00044990986,0.006167468,194.74,153.8,0.027259376549,0.404672061289,41,0
0.0025120904,23.6044,360.59,2,0.025573056,0.0016807107,5.609849e-06,0.00041400688,259.68,194.74,0.0297658571,0.036802851689,42,0
0.006627476,23.518158,400.07,2,0.0025120904,0.025573056,0.0016807107,0.00044990986,360.59,259.68,0.034712622400000004,0.037262859689000005,43,0
